USER_ID,SKILLS_DSC,DOMAIN_DSC,LEVEL_VAL
2836571,Snowflake Data Cloud,Data Platform,60.0
2836571,Microsoft Azure,Data Platform,60.0
2836571,Snowflake Data Cloud,Data Platform,60.0
2836571,Microsoft Azure,Data Platform,60.0
2836571,Snowflake Data Cloud,Data Platform,60.0
2836571,Microsoft Azure,Data Platform,60.0
2433134,Snowflake Data Cloud,Data Platform,60.0
2433134,Snowflake Data Cloud,Data Platform,60.0
2433134,Snowflake Data Cloud,Data Platform,60.0
2433134,Snowflake Data Cloud,Data Platform,60.0
2433134,Snowflake Data Cloud,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433142,Amazon Web Services,Data Platform,20.0
2433142,Microsoft Azure,Data Platform,90.0
2433142,Google Cloud Platform,Data Platform,30.0
2433142,Databricks Lakehouse Platform,Data Platform,80.0
2433142,Snowflake Data Cloud,Data Platform,60.0
2433142,Microsoft Fabric,Data Platform,60.0
2433143,Microsoft Azure,Data Platform,60.0
2433143,Snowflake Data Cloud,Data Platform,80.0
2433852,Microsoft Azure,Data Platform,40.0
2433852,Google Cloud Platform,Data Platform,40.0
2433852,Snowflake Data Cloud,Data Platform,60.0
2445183,Snowflake Data Cloud,Data Platform,80.0
2445183,Snowflake Data Cloud,Data Platform,80.0
2480827,Snowflake Data Cloud,Data Platform,70.0
2480827,Microsoft Fabric,Data Platform,60.0
2499680,Microsoft Azure,Data Platform,40.0
2499680,Google Cloud Platform,Data Platform,60.0
2513866,Microsoft Azure,Data Platform,50.0
2513866,Snowflake Data Cloud,Data Platform,80.0
2513866,Microsoft Fabric,Data Platform,60.0
2513866,Microsoft Azure,Data Platform,50.0
2513866,Snowflake Data Cloud,Data Platform,80.0
2513866,Microsoft Fabric,Data Platform,60.0
2513866,Microsoft Azure,Data Platform,50.0
2513866,Snowflake Data Cloud,Data Platform,80.0
2513866,Microsoft Fabric,Data Platform,60.0
2513866,Microsoft Azure,Data Platform,50.0
2513866,Snowflake Data Cloud,Data Platform,80.0
2513866,Microsoft Fabric,Data Platform,60.0
2513866,Microsoft Azure,Data Platform,50.0
2513866,Snowflake Data Cloud,Data Platform,80.0
2513866,Microsoft Fabric,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2551856,Microsoft Fabric,Data Platform,40.0
2551856,Amazon Web Services,Data Platform,20.0
2551856,Microsoft Azure,Data Platform,60.0
2551856,Google Cloud Platform,Data Platform,60.0
2551856,Databricks Lakehouse Platform,Data Platform,20.0
2551856,Snowflake Data Cloud,Data Platform,60.0
2578963,Microsoft Azure,Data Platform,60.0
2579999,Microsoft Azure,Data Platform,50.0
2579999,Google Cloud Platform,Data Platform,60.0
2579999,Snowflake Data Cloud,Data Platform,30.0
2671704,Amazon Web Services,Data Platform,40.0
2671704,Google Cloud Platform,Data Platform,60.0
2671704,Microsoft Azure,Data Platform,60.0
2671704,Snowflake Data Cloud,Data Platform,70.0
2671704,Amazon Web Services,Data Platform,40.0
2671704,Google Cloud Platform,Data Platform,60.0
2671704,Microsoft Azure,Data Platform,60.0
2671704,Snowflake Data Cloud,Data Platform,70.0
2789583,Amazon Web Services,Data Platform,20.0
2789583,Microsoft Azure,Data Platform,40.0
2789583,Snowflake Data Cloud,Data Platform,60.0
2946290,Microsoft Azure,Data Platform,70.0
2946290,Microsoft Fabric,Data Platform,70.0
2946290,Microsoft Azure,Data Platform,70.0
2946290,Microsoft Fabric,Data Platform,70.0
2946290,Microsoft Azure,Data Platform,70.0
2946290,Microsoft Fabric,Data Platform,70.0
2818577,Microsoft Azure,Data Platform,20.0
2818577,Snowflake Data Cloud,Data Platform,20.0
2818577,Microsoft Azure,Data Platform,20.0
2818577,Snowflake Data Cloud,Data Platform,20.0
2818577,Microsoft Azure,Data Platform,20.0
2818577,Snowflake Data Cloud,Data Platform,20.0
2903451,Microsoft Azure,Data Platform,
2903451,Snowflake Data Cloud,Data Platform,
